list,expression,order,item,firstDisplay,secondDisplay,English,Hindi,tense,half,cond,grammaticalRole,gender,target,location,competitor,target_hindi,target_translations,competitor_hindi,competitor_translations,CompID,expTrials,recordingName
6,pronoun,7,x23,x23.jpg,x23_m.jpg,"the butterfly is number 2, above the pot and the flower","तितली नंबर 2 पर उड़ रही है, गमले और फूल के ऊपर ।",forstanding,1,9,9,,,5,,butterfly,,,,,N,N_List6_Order7_Item_x23_Cond9_Exp_pronoun_Tense_forstanding
7,noun,7,x23,x23.jpg,x23_m.jpg,"the butterfly is number 2, above the pot and the flower","तितली नंबर 2 पर उड़ रही है, गमले और फूल के ऊपर ।",forstanding,1,9,9,9,2,,5,,butterfly,,,,N,N_List7_Order7_Item_x23_Cond9_Exp_noun_Tense_forstanding
8,noun,7,x23,x23.jpg,x23_m.jpg,"the butterfly is number 2, above the pot and the flower","तितली नंबर 2 पर उड़ रही है, गमले और फूल के ऊपर ।",forstanding,1,9,9,9,2,,5,,butterfly,,,,N,N_List8_Order7_Item_x23_Cond9_Exp_noun_Tense_forstanding
1,pronoun,8,1,1_2.jpg,1_2_m.jpg,The girl above the m-teacher is on number 1.,अध्यापक के ऊपर वाली लड़की नंबर 1 पर है ।,simple,1,1,subject,mismatch,1,above,4,laRkii,girl,adhyaapak,m-teacher,19,Y,Y_List1_Order8_Item_1_Cond1_Exp_pronoun_Tense_simple
2,pronoun,8,1,1_2.jpg,1_2_m.jpg,The girl above the m-teacher is standing on number 1.,अध्यापक के ऊपर वाली लड़की नंबर 1 पर खड़ी है ।,forstanding,1,2,subject,mismatch,1,above,4,laRkii,girl,adhyaapak,m-teacher,19,Y,Y_List2_Order8_Item_1_Cond2_Exp_pronoun_Tense_forstanding
3,noun,8,1,1_2.jpg,1_2_m.jpg,The girl above the m-teacher is on number 1.,अध्यापक के ऊपर वाली लड़की नंबर 1 पर है ।,simple,1,1,subject,mismatch,1,above,4,laRkii,girl,adhyaapak,m-teacher,19,Y,Y_List3_Order8_Item_1_Cond1_Exp_noun_Tense_simple
4,noun,8,1,1_2.jpg,1_2_m.jpg,The girl above the m-teacher is standing on number 1.,अध्यापक के ऊपर वाली लड़की नंबर 1 पर खड़ी है ।,forstanding,1,2,subject,mismatch,1,above,4,laRkii,girl,adhyaapak,m-teacher,19,Y,Y_List4_Order8_Item_1_Cond2_Exp_noun_Tense_forstanding
5,pronoun,8,19,19_2.jpg,19_2_m.jpg,The fisherwoman next to the farmer is on number 2.,किसान के साथ वाली मछुआरिन नंबर 2 पर है ।,simple,1,1,subject,mismatch,2,next to,3,machhuaarin,fisherwoman,kisaan,farmer,6,Y,Y_List5_Order8_Item_19_Cond1_Exp_pronoun_Tense_simple
6,pronoun,8,19,19_2.jpg,19_2_m.jpg,The fisherwoman next to the farmer is standing on number 2.,किसान के साथ वाली मछुआरिन नंबर 2 पर खड़ी है ।,forstanding,1,2,subject,mismatch,2,next to,3,machhuaarin,fisherwoman,kisaan,farmer,6,Y,Y_List6_Order8_Item_19_Cond2_Exp_pronoun_Tense_forstanding
7,noun,8,19,19_2.jpg,19_2_m.jpg,The fisherwoman next to the farmer is on number 2.,किसान के साथ वाली मछुआरिन नंबर 2 पर है ।,simple,1,1,subject,mismatch,2,next to,3,machhuaarin,fisherwoman,kisaan,farmer,6,Y,Y_List7_Order8_Item_19_Cond1_Exp_noun_Tense_simple
8,noun,8,19,19_2.jpg,19_2_m.jpg,The fisherwoman next to the farmer is standing on number 2.,किसान के साथ वाली मछुआरिन नंबर 2 पर खड़ी है ।,forstanding,1,2,subject,mismatch,2,next to,3,machhuaarin,fisherwoman,kisaan,farmer,6,Y,Y_List8_Order8_Item_19_Cond2_Exp_noun_Tense_forstanding
1,pronoun,9,x03,x03.jpg,x03_m.jpg,the calculator is standing on number 3,कैलकुलेटर नंबर 3 पर पड़ा है ।,forstanding,1,,,,,,,,calculator,,,,N,N_List1_Order9_Item_x03_Cond_Exp_pronoun_Tense_forstanding
2,pronoun,9,x03,x03.jpg,x03_m.jpg,the calculator is standing on number 3,कैलकुलेटर नंबर 3 पर पड़ा है ।,forstanding,1,,,,,,,,calculator,,,,N,N_List2_Order9_Item_x03_Cond_Exp_pronoun_Tense_forstanding
3,noun,9,x03,x03.jpg,x03_m.jpg,the calculator is standing on number 3,कैलकुलेटर नंबर 3 पर पड़ा है ।,forstanding,1,,,,,,,,calculator,,,,N,N_List3_Order9_Item_x03_Cond_Exp_noun_Tense_forstanding
4,noun,9,x03,x03.jpg,x03_m.jpg,the calculator is standing on number 3,कैलकुलेटर नंबर 3 पर पड़ा है ।,forstanding,1,,,,,,,,calculator,,,,N,N_List4_Order9_Item_x03_Cond_Exp_noun_Tense_forstanding
5,pronoun,9,x55,x55.jpg,x55_m.jpg,the tomato is on number 3,टमाटर नंबर 3 पर है ।,9,1,9,9,,,,,tomato,,,,,N,N_List5_Order9_Item_x55_Cond9_Exp_pronoun_Tense_9
6,pronoun,9,x55,x55.jpg,x55_m.jpg,the tomato is on number 3,टमाटर नंबर 3 पर है ।,9,1,9,9,,,,,tomato,,,,,N,N_List6_Order9_Item_x55_Cond9_Exp_pronoun_Tense_9
7,noun,9,x55,x55.jpg,x55_m.jpg,the tomato is on number 3,टमाटर नंबर 3 पर है ।,,1,9,9,9,3,,,,tomato,,,,N,N_List7_Order9_Item_x55_Cond9_Exp_noun_Tense_
8,noun,9,x55,x55.jpg,x55_m.jpg,the tomato is on number 3,टमाटर नंबर 3 पर है ।,,1,9,9,9,3,,,,tomato,,,,N,N_List8_Order9_Item_x55_Cond9_Exp_noun_Tense_
1,pronoun,10,x26,x26.jpg,x26_m.jpg,"on number 5, (there) is a plate of kaju dessert",नंबर 5 पर काजू कतली की प्लेट है ।,,1,9,9,9,5,,,,dessert,,,,N,N_List1_Order10_Item_x26_Cond9_Exp_pronoun_Tense_
2,pronoun,10,x26,x26.jpg,x26_m.jpg,"on number 5, (there) is a plate of kaju dessert",नंबर 5 पर काजू कतली की प्लेट है ।,,1,9,9,9,5,,,,dessert,,,,N,N_List2_Order10_Item_x26_Cond9_Exp_pronoun_Tense_
3,noun,10,x26,x26.jpg,x26_m.jpg,"on number 5, (there) is a plate of kaju dessert",नंबर 5 पर काजू कतली की प्लेट है ।,,1,9,9,9,5,,,,dessert,,,,N,N_List3_Order10_Item_x26_Cond9_Exp_noun_Tense_
4,noun,10,x26,x26.jpg,x26_m.jpg,"on number 5, (there) is a plate of kaju dessert",नंबर 5 पर काजू कतली की प्लेट है ।,,1,9,9,9,5,,,,dessert,,,,N,N_List4_Order10_Item_x26_Cond9_Exp_noun_Tense_
5,pronoun,10,34,34_2.jpg,34_2_m.jpg,The magician below the f-student is on number 5.,छात्रा के नीचे वाला जादूगर नंबर 5 पर है ।,simple,1,1,subject,mismatch,5,below,2,jaadugar,magician,chhaatraa,f-student,10,Y,Y_List5_Order10_Item_34_Cond1_Exp_pronoun_Tense_simple
6,pronoun,10,34,34_2.jpg,34_2_m.jpg,The magician below the f-student is standing on number 5.,छात्रा के नीचे वाला जादूगर नंबर 5 पर खड़ा है ।,forstanding,1,2,subject,mismatch,5,below,2,jaadugar,magician,chhaatraa,f-student,10,Y,Y_List6_Order10_Item_34_Cond2_Exp_pronoun_Tense_forstanding
7,noun,10,34,34_2.jpg,34_2_m.jpg,The magician below the f-student is on number 5.,छात्रा के नीचे वाला जादूगर नंबर 5 पर है ।,simple,1,1,subject,mismatch,5,below,2,jaadugar,magician,chhaatraa,f-student,10,Y,Y_List7_Order10_Item_34_Cond1_Exp_noun_Tense_simple
8,noun,10,34,34_2.jpg,34_2_m.jpg,The magician below the f-student is standing on number 5.,छात्रा के नीचे वाला जादूगर नंबर 5 पर खड़ा है ।,forstanding,1,2,subject,mismatch,5,below,2,jaadugar,magician,chhaatraa,f-student,10,Y,Y_List8_Order10_Item_34_Cond2_Exp_noun_Tense_forstanding
1,pronoun,11,3,3_2.jpg,3_2_m.jpg,The village-woman next to the groom is standing on number 3.,दूल्हे के साथ वाली गाँववाली नंबर 3 पर खड़ी है ।,forstanding,1,2,subject,mismatch,3,next to,2,gaaonvaalii,village-woman,duulhaa,groom,14,Y,Y_List1_Order11_Item_3_Cond2_Exp_pronoun_Tense_forstanding
2,pronoun,11,3,3_2.jpg,3_2_m.jpg,The village-woman next to the groom is on number 3.,दूल्हे के साथ वाली गाँववाली नंबर 3 पर है ।,simple,1,1,subject,mismatch,3,next to,2,gaaonvaalii,village-woman,duulhaa,groom,14,Y,Y_List2_Order11_Item_3_Cond1_Exp_pronoun_Tense_simple
3,noun,11,3,3_2.jpg,3_2_m.jpg,The village-woman next to the groom is standing on number 3.,दूल्हे के साथ वाली गाँववाली नंबर 3 पर खड़ी है ।,forstanding,1,2,subject,mismatch,3,next to,2,gaaonvaalii,village-woman,duulhaa,groom,14,Y,Y_List3_Order11_Item_3_Cond2_Exp_noun_Tense_forstanding
4,noun,11,3,3_2.jpg,3_2_m.jpg,The village-woman next to the groom is on number 3.,दूल्हे के साथ वाली गाँववाली नंबर 3 पर है ।,simple,1,1,subject,mismatch,3,next to,2,gaaonvaalii,village-woman,duulhaa,groom,14,Y,Y_List4_Order11_Item_3_Cond1_Exp_noun_Tense_simple
5,pronoun,11,x39,x39.jpg,x39_m.jpg,"the bear is standing on number 5, below the soap and the button","भालू नंबर 5 पर खड़ा है, साबुन और बटन के नीचे ।",forstanding,1,9,9,,,3,,bear,,,,,N,N_List5_Order11_Item_x39_Cond9_Exp_pronoun_Tense_forstanding
6,pronoun,11,x39,x39.jpg,x39_m.jpg,"the bear is standing on number 5, below the soap and the button","भालू नंबर 5 पर खड़ा है, साबुन और बटन के नीचे ।",forstanding,1,9,9,,,3,,bear,,,,,N,N_List6_Order11_Item_x39_Cond9_Exp_pronoun_Tense_forstanding
7,noun,11,x39,x39.jpg,x39_m.jpg,"the bear is standing on number 5, below the soap and the button","भालू नंबर 5 पर खड़ा है, साबुन और बटन के नीचे ।",forstanding,1,9,9,9,5,,3,,bear,,,,N,N_List7_Order11_Item_x39_Cond9_Exp_noun_Tense_forstanding
8,noun,11,x39,x39.jpg,x39_m.jpg,"the bear is standing on number 5, below the soap and the button","भालू नंबर 5 पर खड़ा है, साबुन और बटन के नीचे ।",forstanding,1,9,9,9,5,,3,,bear,,,,N,N_List8_Order11_Item_x39_Cond9_Exp_noun_Tense_forstanding
1,pronoun,12,x13,x13.jpg,x13_m.jpg,"the toy that is on number 5, it is near the handkerchief and the scissors",नंबर 5 पर जो खिलौना है वह रुमाल और कैंची के पास है ।,,1,,,,4,,6,,toy,,,,N,N_List1_Order12_Item_x13_Cond_Exp_pronoun_Tense_
2,pronoun,12,x13,x13.jpg,x13_m.jpg,"the toy that is on number 5, it is near the handkerchief and the scissors",नंबर 5 पर जो खिलौना है वह रुमाल और कैंची के पास है ।,,1,,,,4,,6,,toy,,,,N,N_List2_Order12_Item_x13_Cond_Exp_pronoun_Tense_
3,noun,12,x13,x13.jpg,x13_m.jpg,"the toy that is on number 5, it is near the handkerchief and the scissors",नंबर 5 पर जो खिलौना है वह रुमाल और कैंची के पास है ।,,1,,,,4,,6,,toy,,,,N,N_List3_Order12_Item_x13_Cond_Exp_noun_Tense_
4,noun,12,x13,x13.jpg,x13_m.jpg,"the toy that is on number 5, it is near the handkerchief and the scissors",नंबर 5 पर जो खिलौना है वह रुमाल और कैंची के पास है ।,,1,,,,4,,6,,toy,,,,N,N_List4_Order12_Item_x13_Cond_Exp_noun_Tense_
5,pronoun,12,x18,x18.jpg,x18_m.jpg,"the bulb is on number 6, and the thief on 4",बल्ब नंबर 6 पर है और चोर नंबर 4 पर है ।,9,1,9,9,,,4,,bulb,,,,,N,N_List5_Order12_Item_x18_Cond9_Exp_pronoun_Tense_9
6,pronoun,12,x18,x18.jpg,x18_m.jpg,"the bulb is on number 6, and the thief on 4",बल्ब नंबर 6 पर है और चोर नंबर 4 पर है ।,9,1,9,9,,,4,,bulb,,,,,N,N_List6_Order12_Item_x18_Cond9_Exp_pronoun_Tense_9
7,noun,12,x18,x18.jpg,x18_m.jpg,"the bulb is on number 6, and the thief on 4",बल्ब नंबर 6 पर है और चोर नंबर 4 पर है ।,,1,9,9,9,6,,4,,bulb,,,,N,N_List7_Order12_Item_x18_Cond9_Exp_noun_Tense_
8,noun,12,x18,x18.jpg,x18_m.jpg,"the bulb is on number 6, and the thief on 4",बल्ब नंबर 6 पर है और चोर नंबर 4 पर है ।,,1,9,9,9,6,,4,,bulb,,,,N,N_List8_Order12_Item_x18_Cond9_Exp_noun_Tense_
1,pronoun,13,21,21_2.jpg,21_2_m.jpg,The boy above the f-teacher is on number 1.,अध्यापिका के ऊपर वाला लड़का नंबर 1 पर है ।,simple,1,1,subject,mismatch,1,above,4,laRkaa,boy,adhyaapikaa,f-teacher,11,Y,Y_List1_Order13_Item_21_Cond1_Exp_pronoun_Tense_simple
2,pronoun,13,21,21_2.jpg,21_2_m.jpg,The boy above the f-teacher is standing on number 1.,अध्यापिका के ऊपर वाला लड़का नंबर 1 पर खड़ा है ।,forstanding,1,2,subject,mismatch,1,above,4,laRkaa,boy,adhyaapikaa,f-teacher,11,Y,Y_List2_Order13_Item_21_Cond2_Exp_pronoun_Tense_forstanding
3,noun,13,21,21_2.jpg,21_2_m.jpg,The boy above the f-teacher is on number 1.,अध्यापिका के ऊपर वाला लड़का नंबर 1 पर है ।,simple,1,1,subject,mismatch,1,above,4,laRkaa,boy,adhyaapikaa,f-teacher,11,Y,Y_List3_Order13_Item_21_Cond1_Exp_noun_Tense_simple
